person_assigned,double-checked by,rowID,speciesID,common_name,species,doc_type,sara_status,doc_citation,url,web_pub_date,year_published,status_appraisal_rapid_review,final,amendment,taxonomic_group,EOO,IAO,locations,endemic_NA,endemic_canada,continuous_USA,cosewic_status,ranges,cosewic_examined_date,date_of_listing,gic_decision,criteria_used_listing_1,criteria_used_listing_2,criteria_used_listing_3,criteria_used_listing_4,criteria_used_listing_5,1_notes_on_model,1_type_of_model_used,1_report_section_model _referenced,1_uncertainty_reported,1_type_uncertainty_reported,1_degree_of_uncertainty,1_reference,1_reference_type,1_rationale_reference,1_model_species_specific ,1_criteria_model_used_to_inform,1_model_used_listing_decision,1_rationale_model_used_listing_decision,2_notes_on_model,2_type_of_model_used,2_report_section_model _referenced,2_uncertainty_reported,2_type_uncertainty_reported,2_degree_of_uncertainty,2_reference,2_reference_type,2_rationale_reference,2_model_species_specific ,2_criteria_model_used_to_inform,2_model_used_listing_decision,2_rationale_model_used_listing_decision,3_notes_on_model,3_type_of_model_used,3_report_section_model _referenced,3_uncertainty_reported,3_type_uncertainty_reported,3_degree_of_uncertainty,3_reference,3_reference_type,3_rationale_reference,3_model_species_specific ,3_criteria_model_used_to_inform,3_model_used_listing_decision,3_rationale_model_used_listing_decision,4_notes_on_model,4_type_of_model_used,4_report_section_model _referenced,4_uncertainty_reported,4_type_uncertainty_reported,4_degree_of_uncertainty,4_reference,4_reference_type,4_rationale_reference,4_model_species_specific ,4_criteria_model_used_to_inform,4_model_used_listing_decision,4_rationale_model_used_listing_decision,was_model_mentioned_anywhere_else,were_multiple_models_mentioned_elsewhere,report_sections_additional_model_referenced,flag_for_group_discussion,flag_resolution
Lucas,,948,335,flammulated owl,Otus flammeolus,COSEWIC Status Reports,Special Concern,COSEWIC. 2010. COSEWICassessment and status report on the Flammulated Owl Otus flammeolus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. x + 23 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=flammulated%20owl,9/3/10,2010,0,1,0,Birds,113000,1620,NR,1,0,1,Special Concern,BC,4/1/10,6/5/03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,HAB,"flag- they briefly mention a climate model that predicts longer hotter summers, and from this they infer habitat loss as a result of increased forest fires- they do bring this up in the technical summary, but provide no details on the model and a quick search shows that the climate model is general and not for this owl species speficially, the issue here is that this model ",resolved-SC-ignore
Caitlin,,911,336,great blue heron fannini subspecies,Ardea herodias fannini,COSEWIC Status Reports,Special Concern,NA,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=great%20blue%20heron%20fannini%20subspecies,NA,2008,0,1,0,Birds,244000,188000,49,1,0,1,Special Concern,BC,4/1/08,2/23/10,List,NA,NA,NA,NA,NA,"regression? Since 1988/89, the relationship between the mean number of herons observed per party hour and year shows a significant 26% decline (t = -3.18; P < 0.01; n = 19; r2 = 0.34).",abundance,POP,N,NRP,NRP,NRP,NEW,Authors of report discuss making this model,Y,C,N,"Species not listed, but C refers to CBC count in the table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,POP,NA,NA
Aaliyah/Caitlin,Jayme,788,338,lewis's woodpecker,Melanerpes lewis,COSEWIC Status Reports,Threatened,COSEWIC. 2010. COSEWIC assessment and status report on the Lewis's Woodpecker Melanerpes lewis in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. x + 23 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=lewis%27s%20woodpecker,9/3/10,2010,0,1,0,Birds,86000,1250,NR,1,0,1,Threatened,BC,4/1/10,6/5/03,Uplist,C2a(i),D1,NA,NA,NA,"Data from Breeding Bird Surveys between 1966 and 2007 show a non-significant decline in the global (Canada and the USA) population of Lewis’s Woodpecker of 1.21% per year (n = 91 routes, P = 0.60; Sauer et al. 2008). Data for the most recent 10-year period (1997-2007) indicate a significant decline in the global population of 5.46% per year (n = 47 routes, P = 0.036; Sauer et al. 2008). At this rate of decline the global population will have decreased by 43% over the last 10 years or approximately three generations.",abundance,POP,N,NRP,NRP,"Sauer, J. R., J. E. Hines, and J. Fallon. 2008. The North American Breeding Bird Survey, Results and Analysis 1966 - 2007. Version 5.15.2008. USGS Patuxent Wildlife Research Center, Laurel, MD.",GL,government document,Y,C,Y,relates to declining population in Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,NA,NA
Aaliyah,Hossam,700,351,white-headed woodpecker,Picoides albolarvatus,COSEWIC Status Reports,Endangered,COSEWIC. 2010. COSEWIC assessment and status report on the White-headed Woodpecker. viii + 21 pp,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=white%20-%20headed%20woodpecker,9/9/11,2010,0,1,0,Birds,1500,20,1,1,0,1,Endangered,BC,11/1/10,6/5/03,NA,"B1ab(ii,iii)+2ab(ii,iii)","C2a(i,ii)",D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,NA,NA
Hossam,,1007,387,baird's sparrow,Ammodramus bairdii,COSEWIC Status Reports,Special Concern,COSEWIC. 2012. COSEWIC assessment and status report on the Baird¬ís Sparrow Ammodramus bairdii in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. x + 32 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=baird%27s%20sparrow,1/3/13,2012,0,1,0,Birds,410000,2000,NR,1,0,1,Special Concern,AB SK MB,5/1/12,2/3/17,List,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,THR,NA,NA
Lucas,,954,410,barrow's goldeneye eastern population,Bucephala islandica,COSEWIC Status Reports,Special Concern,"COSEWIC. 2000. COSEWIC assessment and status report on the Barrow¬ís Goldeneye Bucephala islandica, Eastern population, in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 65 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=barrow%27s%20goldeneye%20eastern%20population,9/9/11,2011,1,1,0,Birds,125000,NR,NR,1,0,1,Special Concern,QC NB PE NS NL,5/1/11,6/5/03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,NA,NA
Hossam,,950,435,yellow rail,Coturnicops noveboracensis,COSEWIC Status Reports,Special Concern,COSEWIC. 2009. COSEWIC assessment and status report on theYellow Rail Coturnicops noveboracensis in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 32 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=yellow%20rail,9/3/10,2009,0,1,0,Birds,3000000,2000,NR,1,0,1,Special Concern,NT BC AB SK MB ON QC NB,11/1/09,6/5/03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,NA,NA
Lucas,,992,437,harlequin duck eastern population,Histrionicus histrionicus,COSEWIC Status Reports,Special Concern,COSEWIC. 2013. COSEWIC assessment and status report on the Harlequin Duck Histrionicus histrionicus Eastern populationin Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. ix + 38 pp,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=harlequin%20duck%20eastern%20population,10/15/14,2013,0,1,0,Birds,20000,NR,NR,1,0,1,Special Concern,NU QC NB NS NL,11/1/13,6/5/03,NA,NA,NA,NA,NA,NA,"flag- some sort of regression? analysis of christmas bird count data, trend averaged ~5% increase per year over three generations- equivalent to an increase of 350%",flag-abundance,POP,N,NRP,NRP,NRP,NEW,"no citation provided, appear to have used CBC data to model trend themselves",,A,flag-Y,"i say yes but it was more implicit rather than explicit, they mention under criteria A ""Population trend is unknown but likely increasing"" and the described model is one line of evidence in the document that indicates potential increase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,"OTH, POP,THR","type of model, model used in listing decision",resolved-SC-ignore
Caitlin,Aaliyah,881,447,chimney swift,Chaetura pelagica,COSEWIC Status Reports,Threatened,COSEWIC 2007. COSEWIC assessment and status report on the Chimney Swift Chaetura pelagica in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 49 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=chimney%20swift,8/29/07,2007,0,1,0,Birds,1302000,200000,NR,0,0,1,Threatened,SK MB ON QC NB NS,4/1/07,3/5/09,NA,A2c,NA,NA,NA,NA,"population? “According to the BBS, the Canadian Chimney Swift pop declined 7.8% annually btw 1968-2005…a cumulative decline of 95% over that 37 year period”",abundance,POP,N,NRP,NRP,"Downes, CM, BT Collins, and M Damus. 2005. Canadian Bird Trends web site Version 2.1. Migratory birds conservation division, Canadian Wildlife Service, Hull, Quebec.",GL,NA,Y,A,N,Under A: Actual population decline estimates over 3 generations do not meet A2b criterion… C: Estimated population was too large,Results showed that the range of distribution significantly declined by 33% between 1989 and 2004 (p<0.001; CWS-QC Unpublished data).,distributional,POP,N,NRP,NRP,(CWS-QC unpublished data),UNP,NA,Y,A,Y,Under A-- A: AO decline is 33% over 3 generations.,"Data collected for the second Ontario Breeding Bird Atlas (2001-2005) indicate that the species has been reported in only 48% as many 10-km squares as it was during the first atlas (1981-1985), even though at least 85% as much effort has been expended on field surveys. When corrected for effort, the data indicate a decline of 46% in the Area of Occupancy over the last 20 years; that decline has occurred throughout the species range in Ontario",distributional,POP,NRP,NRP,NRP,(http://www.birdsontario.org/publpr/download/OBBA_Change_Tables.pdf).,OTH,webpage,Y,A,Y,average of Ontario and QC models used to list species under A,"PVA--The results suggest that if only swifts of at least two years of age reproduce, between 40% and 60% of these birds must reproduce in order to maintain a viable population within the next century",demographic,POP,N,NRP,NRP,Gauthier J. And Y. Aubry (Des) 1995. The breeding birds of Quebec: Atlas of Breeding birds of southern Quebec,UNP,Paper is in-press,Y,E,N,PVA,Y,Y,"THR,POP,DIS","flag-- trouble telling if that first ""model"" is really a model",resolved
Lucas,,892,469,red knot islandica subspecies,Calidris canutus islandica,COSEWIC Status Reports,Special Concern,COSEWIC 2007. COSEWIC assessment and status report on the Red Knot Calidris canutus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 58 pp,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=red%20knot%20islandica%20subspecies,8/28/07,2007,0,1,0,Birds,455669,284611,NR,0,0,0,Special Concern,NT NU,4/1/07,6/20/12,List,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,OTH,NA,NA
Lucas/Hossam,Jayme,996,472,cerulean warbler,Setophaga cerulea,COSEWIC Status Reports,Endangered,NA,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=cerulean%20warbler,NA,2010,0,1,0,Birds,134308,1250,NR,0,0,1,Endangered,ON QC,11/1/10,1/12/05,Uplist,C2a(ii),NA,NA,NA,NA,"probability of occurrence model- ""A comparison of the species’ distribution in Ontario in the 20-year period from the first (1981-85) to the second (2001-05) atlas period shows an overall non-significant decline of 30% (P = 0.18) in the probability of occurrence (Francis 2007). The most pronounced, statistically significant decline was in the Carolinian region (-47%; P = 0.08; Francis 2007), where roughly 20% of the Canadian population of Cerulean Warblers currently resides. Over a 10-year period (roughly three generations), the above values represent a non-significant decline in occurrence of about 16% overall, and a significant decline of about 27% (equivalent to -1.6% per year; 90% CI = -3.1% to -0.1%) within the Carolinian region""",abundance,POP,NRP,NRP,NRP,"Francis, C.M. 2007. Cerulean Warbler. Pp. 500-501 in M.D. Cadman, D.A. Sutherland, G.G. Beck, D. Lepage, and A.R. Couturier (eds.). Atlas of the Breeding Birds of Ontario, 2001-2005. Bird Studies Canada, Environment Canada, Ontario Field Ornithologists, Ontario Ministry of Natural Resources, and Ontario Nature, Toronto, xxii + 706 pp.",GL,citation provided in text,Y,"A,C",Y,"Under C2, you need to show a decline in the number of mature individuals so model was used. Used for criteria A but does not meet thresholds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,"HAB,OTH,POP,THR",see flags,resolved
Hossam,,993,480,savannah sparrow princeps subspecies,Passerculus sandwichensis princeps,COSEWIC Status Reports,Special Concern,COSEWIC. 2009. COSEWIC assessment and status report on the Savannah Sparrow princeps subspecies Passerculus sandwichensis in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vi + 21 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=savannah%20sparrow%20princeps%20subspecies,9/3/10,2009,0,1,0,Birds,90,80,1,1,0,0,Special Concern,NS,11/1/09,6/5/03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
Aaliyah,Caitlin,660,483,piping plover melodus subspecies,Charadrius melodus melodus,COSEWIC Status Reports,Endangered,COSEWIC. 2013. COSEWIC assessment and status report on the Piping Plover circumcinctus subspecies (Charadrius melodus circumcinctus) and the melodus subspecies (Charadrius melodus melodus) in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xiv + 39 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=piping%20plover%20melodus%20subspecies,10/15/14,2013,0,1,0,Birds,258050,424,NR,1,0,1,Endangered,QC NB PE NS NL,11/1/13,6/5/03,NA,C2a(i),NA,NA,NA,NA,"Linear regression on annual survey counts shows a non-significant decline of 13% over the long term (1991-2013) and a significant decline of 23.3% over the last 10 years or approximately three generations. On the longer term (1991–2011), the interior subspecies has shown a decline of 22.9%, based on a linear regression on the count data from the International Piping Plover Census (Table 2). Over the most recent 10-year period (2001–2011), the interior subspecies has shown a decline of 12.2%. This estimate is based on applying the rate of decline for the entire time series to the last 10-year period. Using linear regression, annual survey results for the eastern subspecies show a non-significant long-term (1991–2013) decline of 13% (P = 0.15) and a significant short-term (2003–2013) decline of 23.3% (P = 0.014) over the last 10 years or approximately three generations.",abundance,POP,N,NRP,NRP,NRP,NEW,Regression done on data from 1991-2011 but no refernce,Y,"A,C",Y,"Endangered C2a(i) because the number of mature individuals is less than 2500, there is a
projected continuing decline in the number of mature individuals and no population is estimated to contain
more than 250 mature individuals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,species meet threatened D1 but was listed as Endangered C2a(i),resolved-criteria discrepancy
Hossam/Caitlin,Jayme,596,503,pink-footed shearwater,Ardenna creatopus,COSEWIC Status Reports,Threatened,COSEWIC. 2016. COSEWIC assessment and status report on the Pink-footed Shearwater Ardenna creatopus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 43 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=pink%20-%20footed%20shearwater,10/24/17,2016,0,1,0,Birds,285500,80,3,0,0,1,Endangered,BC Pacific_Ocean,11/1/16,7/14/05,Uplist,"B2ab(iii,v)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
Hossam,Jayme,778,506,common nighthawk,Chordeiles minor,COSEWIC Status Reports,Threatened,COSEWIC 2007. COSEWIC assessment and status report on the Common Nighthawk Chordeiles minor in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vi + 25 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=common%20nighthawk,8/29/07,2007,0,1,0,Birds,4817780,54000,NR,0,0,1,Threatened,YT NT NU BC AB SK MB ON QC NB PE NS NL,4/1/07,2/23/10,NA,A2b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
Lucas,Aaliyah,552,507,spotted owl caurina subspecies,Strix occidentalis caurina,COSEWIC Status Reports,Endangered,"COSEWIC. 2008. COSEWIC assessment and update status report on the Spotted Owl Strix occidentalis caurina Caurina subspecies, in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 47 pp.",https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=spotted%20owl%20caurina%20subspecies,8/28/08,2008,0,1,0,Birds,32000,54.4,79,1,0,1,Endangered,BC,4/1/08,6/5/03,NA,A2ac,"B2ab(i,ii,iii,iv,v)",C1+2a(i),D1,E,"""simple linear regression"" "" Estimated number of occupied survey areas among the 40 survey areas from 1992 to 2002 (with 90% C.I.). Figure from Cooper (2006), adapted from Blackburn and Godwin (2003)""",distributional,POP,Y,CI,NA,"Cooper, J.M. 2006. In trouble in Canada-The Northern Spotted Owl. Biodiversity 6(4):10-11.",PR,NA,Y,"C,E",Y,NA,"habitat suitability model-""Recent work (with different habitat model variables) has determined that only99,675 ha in protected areas is actually suitable for Northern Spotted Owls. About 340,000 ha of unprotected suitable and restorable (within 20 years) habitat is available to breeding owls (Chutter et al. 2007)""",distributional,HAB,NRP,NRP,NRP,"Chutter, M.J., Blackburn, I., Bonin, D., Buchanan, J., Cunnington, D., Feldes, L., Harestad, A., Hayes, T., Heppner, D., Kiss, L., Leech, S., Smith, J., Surgenor, J., Wall, W., Waterhouse, L., and Williams, L. 2007. Guidance and some components of action planning for the Northern Spotted Owl in British Columbia. Canadian Spotted Owl Recovery Team, BC Ministry of Environment, Victoria, BC",GL,govt doc,Y,B,Y,"The only place it could have been used was criteria B. It says it meets Endangered B2ab(i,ii,iii,iv,v) which used the Index of Area of Occupancy; the IAO in the table doesn't seem to use the Chutter model (it comes from number of active sites x home range). However, you also need to show a decline in quantity of habitat for this criteria, and that seems to come from the Chutter model: in the Technical Summary it says ""Specify trend in area, extent or quality of habitat Habitat supply based on analysis by Chutter et al. (2007) Declining currently and forecast to decline for 20 years before stabilizing"". So I would say it was used for Criteria B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,flag-lots,resolved
Aaliyah,,,,canada warbler,Cardellina canadensis,COSEWIC Status Reports,Threatened,COSEWIC. 2020. COSEWIC assessment and status report on the Canada Warbler Cardellina canadensis in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 54 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=Cardellina%20canadensis,10/12/21,2020,0,1,0,Birds,,,,,,,Special Concern,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,"POP,THR","Was threatened but then special concer, would modelling be considered used in lisitn decision - for what criteria if special concern",resolved-SC-ignore
Hossam,Jayme,,,mountain plover,Charadrius montanus,COSEWIC Status Reports,Endangered,COSEWIC. 2021. COSEWIC Rapid Review of Classification on the Mountain Plover Charadrius montanus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xiipp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=Charadrius%20montanus,11/17/22,2021,0,1,0,Birds,,,,,,,Endangered,,,,,D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA
Aaliyah,,,,greater sage-grouse urophasianus subspecies,Centrocercus urophasianus urophasianus,COSEWIC Status Reports,Endangered,COSEWIC. 2021. COSEWIC Rapid Review of Classification on the Greater Sage-Grouse urophasianus subspecies Centrocercus urophasianus urophasianus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xv pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=greater%20sage%20grouse%20urophasianus%20subspecies,11/17/22,2021,1,1,0,Birds,,,,,,,Endangered,,,,,D1,NA,NA,NA,NA,"Inferred 13% reduction over 3 generations (2009-2020), based on linear regression on counts at active leks in Alberta, but with high uncertainty (95% CI of -122%, 96%).",abundance,OTH,Y,CI,HIGH,NRP,NEW,no reference given for linear regression output,Y,C,N,"model does not refer to number of mature individuals, looking at generation decline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,OTH,rapid review - would report section be other?,resolved-RR-ignore
Aaliyah,,,,eastern whip-poor-will,Antrostomus vociferus,COSEWIC Status Reports,Threatened,COSEWIC. 2022. COSEWIC assessment and status report on the Eastern Whip-poor-will Antrostomus vociferus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xiii + 56 pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=eastern%20whip%20poor%20will,10/18/23,2022,0,1,0,Birds,,,,,,,Special Concern,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,"POP, OTH",Special concern with models that relate to listing - how are we dealing with this?,resolved-SC-ignore
Hossam,,,,northern bobwhite,Colinus virginianus,COSEWIC Status Reports,Endangered,COSEWIC. 2023. COSEWIC Rapid Review of Classification on the Northern Bobwhite Colinus virginianus in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xv pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=northern%20bobwhite,1/23/24,2023,1,1,0,Birds,,,,,,,Endangered,,,,,"B1ab(ii,iii,v)+2ab(ii,iii,v)","C2a(i,ii)",D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,N,NA,NA,NA,NA
Aaliyah,,,,savannah sparrow princeps subspecies,Passerculus sandwichensis princeps,COSEWIC Status Reports,Special Concern,COSEWIC. 2023. COSEWIC Rapid Review of Classification on the Savannah Sparrow princeps subspecies Passerculus sandwichensis princeps in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xvii pp.,https://species-registry.canada.ca/index-en.html#/species?sortBy=commonNameSort&sortDirection=asc&pageSize=10&keywords=savannah%20sparrow%20princeps%20subspecies,1/22/24,2023,1,1,0,Birds,,,,,,,Special Concern,,,,,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,exclude,NA
